Node id | Latitud | Longitud
576923963 | 38.7665 | 0.0167 
576923962 | 38.7693 | 0.0063 
1304415314 | 38.7696 | 0.0062 
576923969 | 38.7767 | 0.0045 
576923968 | 38.7777 | 0.0043 
576923967 | 38.7805 | -0.0006 
576923966 | 38.7816 | -0.0041 
576923965 | 38.7828 | -0.0077 
577011220 | 38.7830 | -0.0082 
577011219 | 38.7817 | -0.0106 
577011218 | 38.7807 | -0.0141 
577011217 | 38.7796 | -0.0158 
577011216 | 38.7791 | -0.0167 
577011215 | 38.7789 | -0.0178 
577011214 | 38.7787 | -0.0204 
577011213 | 38.7785 | -0.0209 
577011212 | 38.7777 | -0.0222 
577011211 | 38.7761 | -0.0239 
576156851 | 38.7753 | -0.0261 
576156847 | 38.7748 | -0.0261 
576156843 | 38.7732 | -0.0286 
576156838 | 38.7716 | -0.0313 
576156835 | 38.7707 | -0.0321 
576156831 | 38.7699 | -0.0338 
576156827 | 38.7690 | -0.0360 
576156822 | 38.7676 | -0.0386 
576156820 | 38.7662 | -0.0415 
576156815 | 38.7643 | -0.0429 
576156812 | 38.7624 | -0.0448 
576156808 | 38.7607 | -0.0478 
576156805 | 38.7603 | -0.0486 
576156803 | 38.7598 | -0.0501 
576156459 | 38.7597 | -0.0505 
576156457 | 38.7610 | -0.0535 
576156454 | 38.7630 | -0.0543 
576156451 | 38.7647 | -0.0549 
576156448 | 38.7663 | -0.0626 
576156445 | 38.7674 | -0.0645 
576156442 | 38.7719 | -0.0668 
576156440 | 38.7740 | -0.0777 
576156437 | 38.7770 | -0.0818 
576039302 | 38.7788 | -0.0852 
576039303 | 38.7814 | -0.0868 
576039304 | 38.7829 | -0.0878 
576039305 | 38.7849 | -0.0882 
576039306 | 38.7862 | -0.0894 
576039307 | 38.7866 | -0.0906 
576039308 | 38.7877 | -0.0915 
576039309 | 38.7890 | -0.0927 
576039310 | 38.7899 | -0.0937 
576039311 | 38.7901 | -0.0940 
576039312 | 38.7905 | -0.0959 
576039313 | 38.7916 | -0.0985 
576039314 | 38.7929 | -0.1016 
576039315 | 38.7932 | -0.1041 
576039316 | 38.7939 | -0.1061 
576039317 | 38.7943 | -0.1079 
576039318 | 38.7957 | -0.1100 
576039319 | 38.7966 | -0.1115 
576039320 | 38.7968 | -0.1130 
576039321 | 38.7970 | -0.1146 
576039322 | 38.7968 | -0.1173 
576039323 | 38.7970 | -0.1218 
576039324 | 38.7972 | -0.1239 
576039325 | 38.7974 | -0.1269 
576039046 | 38.7969 | -0.1324 
576039136 | 38.7912 | -0.1383 
576039137 | 38.7906 | -0.1405 
576039139 | 38.7888 | -0.1446 
576039141 | 38.7870 | -0.1489 
576039143 | 38.7851 | -0.1520 
576039145 | 38.7815 | -0.1589 
576039051 | 38.7733 | -0.1758 
576039050 | 38.7697 | -0.1875 
576039049 | 38.7700 | -0.1957 
576039048 | 38.7704 | -0.1976 
576039013 | 38.7707 | -0.1996 
576039014 | 38.7708 | -0.2024 
576039015 | 38.7715 | -0.2097 
576039016 | 38.7719 | -0.2154 
576039017 | 38.7745 | -0.2462 
576039018 | 38.7748 | -0.2498 
576039019 | 38.7752 | -0.2556 
576039020 | 38.7743 | -0.2571 
576039021 | 38.7736 | -0.2583 
576039022 | 38.7727 | -0.2608 
576039023 | 38.7719 | -0.2622 
576039024 | 38.7718 | -0.2627 
576039025 | 38.7715 | -0.2650 
576039026 | 38.7713 | -0.2656 
576039027 | 38.7711 | -0.2661 
576039028 | 38.7707 | -0.2668 
576039029 | 38.7698 | -0.2677 
576039030 | 38.7692 | -0.2686 
576039031 | 38.7690 | -0.2694 
576039032 | 38.7690 | -0.2699 
576039033 | 38.7692 | -0.2707 
576039034 | 38.7692 | -0.2715 
252049589 | 38.7691 | -0.2718 
252049588 | 38.7687 | -0.2727 
252049587 | 38.7686 | -0.2730 
454214719 | 38.7686 | -0.2731 
576039037 | 38.7675 | -0.2742 
576039038 | 38.7657 | -0.2768 
576039039 | 38.7653 | -0.2777 
576039040 | 38.7643 | -0.2804 
576039041 | 38.7642 | -0.2809 
576039042 | 38.7643 | -0.2814 
576039043 | 38.7646 | -0.2823 
576039044 | 38.7650 | -0.2838 
576039045 | 38.7656 | -0.2854 
576038865 | 38.7662 | -0.2870 
576038866 | 38.7669 | -0.2873 
576038867 | 38.7680 | -0.2874 
576038868 | 38.7689 | -0.2881 
576038869 | 38.7694 | -0.2883 
576038870 | 38.7700 | -0.2889 
576038871 | 38.7706 | -0.2895 
576038872 | 38.7722 | -0.2920 
576038873 | 38.7743 | -0.2913 
576038874 | 38.7754 | -0.2905 
576038875 | 38.7772 | -0.2886 
576038876 | 38.7828 | -0.2836 
576038877 | 38.7861 | -0.2852 
576038878 | 38.7871 | -0.2856 
576038879 | 38.7901 | -0.2863 
576038880 | 38.7925 | -0.2867 
576038881 | 38.7935 | -0.2870 
576038882 | 38.7947 | -0.2871 
576038883 | 38.7959 | -0.2870 
576038884 | 38.7977 | -0.2871 
576038885 | 38.7990 | -0.2871 
576038886 | 38.7999 | -0.2869 
576038887 | 38.8057 | -0.2857 
576039211 | 38.8070 | -0.2869 
576039209 | 38.8101 | -0.2898 
576039208 | 38.8118 | -0.2913 
576039207 | 38.8157 | -0.2950 
576039205 | 38.8174 | -0.2962 
576039203 | 38.8204 | -0.2980 
576039202 | 38.8205 | -0.2983 
576039172 | 38.8223 | -0.3072 
576923952 | 38.8223 | -0.3079 
576923953 | 38.8223 | -0.3085 
576923954 | 38.8221 | -0.3091 
576923955 | 38.8207 | -0.3110 
576923956 | 38.8164 | -0.3174 
575697087 | 38.8144 | -0.3206 
575697093 | 38.8139 | -0.3220 
575697095 | 38.8129 | -0.3259 
575697097 | 38.8120 | -0.3273 
575697099 | 38.8097 | -0.3312 
575697100 | 38.8100 | -0.3348 
575697101 | 38.8108 | -0.3428 
575697102 | 38.8105 | -0.3477 
575697104 | 38.8107 | -0.3480 
575697106 | 38.8115 | -0.3491 
575697108 | 38.8117 | -0.3498 
575697109 | 38.8118 | -0.3508 
575697111 | 38.8119 | -0.3518 
575697113 | 38.8117 | -0.3535 
575697115 | 38.8117 | -0.3542 
575697118 | 38.8118 | -0.3546 
575697120 | 38.8128 | -0.3564 
575697122 | 38.8122 | -0.3568 
575697124 | 38.8110 | -0.3572 
575697125 | 38.8095 | -0.3580 
575697128 | 38.8088 | -0.3588 
575697130 | 38.8082 | -0.3601 
575697132 | 38.8076 | -0.3616 
575697133 | 38.8075 | -0.3626 
575697134 | 38.8075 | -0.3636 
575697135 | 38.8074 | -0.3643 
575697136 | 38.8069 | -0.3653 
575697137 | 38.8064 | -0.3664 
575697138 | 38.8059 | -0.3672 
575697139 | 38.8059 | -0.3675 
575697140 | 38.8077 | -0.3702 
575697141 | 38.8083 | -0.3709 
575697142 | 38.8086 | -0.3712 
575697143 | 38.8087 | -0.3747 
575697144 | 38.8090 | -0.3801 
575697145 | 38.8103 | -0.3858 
575697146 | 38.8135 | -0.3891 
575697147 | 38.8156 | -0.3914 
575697148 | 38.8184 | -0.3942 
575697149 | 38.8221 | -0.3970 
575697150 | 38.8234 | -0.3981 
575697151 | 38.8244 | -0.3988 
575697152 | 38.8251 | -0.3990 
575697153 | 38.8261 | -0.3991 
575697155 | 38.8267 | -0.3993 
575697156 | 38.8274 | -0.3999 
575697159 | 38.8288 | -0.4013 
575697160 | 38.8318 | -0.4036 
575697161 | 38.8325 | -0.4039 
575697163 | 38.8331 | -0.4041 
576464709 | 38.8330 | -0.4051 
576464708 | 38.8323 | -0.4079 
576464707 | 38.8314 | -0.4120 
576464706 | 38.8309 | -0.4146 
576464705 | 38.8281 | -0.4261 
576464704 | 38.8268 | -0.4305 
576464698 | 38.8266 | -0.4315 
576340709 | 38.8264 | -0.4322 
576340710 | 38.8247 | -0.4375 
576340711 | 38.8238 | -0.4403 
576340712 | 38.8227 | -0.4410 
576340713 | 38.8213 | -0.4418 
576340714 | 38.8202 | -0.4427 
576340715 | 38.8191 | -0.4433 
576340716 | 38.8205 | -0.4443 
576340789 | 38.8197 | -0.4475 
576340791 | 38.8173 | -0.4535 
576340790 | 38.8149 | -0.4606 
576307923 | 38.8105 | -0.4614 
576307924 | 38.8076 | -0.4619 
576308764 | 38.8057 | -0.4686 
576308765 | 38.8039 | -0.4745 
576308766 | 38.8053 | -0.4775 
576308767 | 38.8048 | -0.4781 
576308768 | 38.8046 | -0.4795 
576308769 | 38.8053 | -0.4886 
576308770 | 38.8056 | -0.4951 
576308771 | 38.8063 | -0.5029 
576308772 | 38.8065 | -0.5077 
576308773 | 38.8068 | -0.5112 
576308774 | 38.8069 | -0.5134 
576308775 | 38.8068 | -0.5158 
576308776 | 38.8076 | -0.5174 
576308777 | 38.8081 | -0.5189 
576308778 | 38.8090 | -0.5209 
576308779 | 38.8093 | -0.5221 
576308780 | 38.8096 | -0.5241 
576308781 | 38.8099 | -0.5246 
576308497 | 38.8106 | -0.5256 
576380970 | 38.8106 | -0.5278 
576380969 | 38.8105 | -0.5302 
576308801 | 38.8104 | -0.5353 
576308800 | 38.8093 | -0.5368 
576308799 | 38.8090 | -0.5375 
576308798 | 38.8082 | -0.5407 
576308797 | 38.8067 | -0.5440 
576308796 | 38.8054 | -0.5467 
576308795 | 38.8056 | -0.5474 
575909996 | 38.8057 | -0.5483 
575910017 | 38.8057 | -0.5488 
575910016 | 38.8052 | -0.5523 
575910015 | 38.8043 | -0.5589 
575909997 | 38.8041 | -0.5602 
576308816 | 38.8178 | -0.5656 
576308815 | 38.8227 | -0.5676 
576308814 | 38.8254 | -0.5688 
576308813 | 38.8267 | -0.5693 
576308812 | 38.8301 | -0.5709 
576308811 | 38.8334 | -0.5721 
576308809 | 38.8392 | -0.5739 
576308807 | 38.8459 | -0.5769 
576308805 | 38.8480 | -0.5777 
576308804 | 38.8534 | -0.5795 
576308802 | 38.8632 | -0.5834 
576308794 | 38.8679 | -0.5850 
576522001 | 38.8668 | -0.5874 
576522003 | 38.8666 | -0.5886 
576522005 | 38.8665 | -0.5897 
576522007 | 38.8663 | -0.5906 
576522008 | 38.8643 | -0.5961 
576522010 | 38.8640 | -0.5971 
576522011 | 38.8638 | -0.5980 
576522013 | 38.8636 | -0.5988 
576522017 | 38.8635 | -0.6002 
576522018 | 38.8633 | -0.6028 
576522020 | 38.8631 | -0.6057 
576522021 | 38.8630 | -0.6088 
576522023 | 38.8630 | -0.6093 
576522025 | 38.8637 | -0.6111 
576522028 | 38.8640 | -0.6122 
576522030 | 38.8634 | -0.6136 
576522032 | 38.8633 | -0.6139 
576522034 | 38.8633 | -0.6145 
576522035 | 38.8632 | -0.6149 
576522038 | 38.8629 | -0.6157 
576522040 | 38.8628 | -0.6161 
576522042 | 38.8628 | -0.6165 
576522044 | 38.8632 | -0.6178 
576522046 | 38.8633 | -0.6180 
576522047 | 38.8618 | -0.6227 
576522049 | 38.8614 | -0.6244 
576522050 | 38.8611 | -0.6249 
576522052 | 38.8608 | -0.6251 
576522053 | 38.8607 | -0.6251 
576522055 | 38.8610 | -0.6256 
576522057 | 38.8613 | -0.6261 
576522059 | 38.8613 | -0.6265 
576522060 | 38.8613 | -0.6270 
576522062 | 38.8610 | -0.6285 
576522064 | 38.8612 | -0.6311 
576522066 | 38.8610 | -0.6342 
576522068 | 38.8608 | -0.6360 
576522071 | 38.8608 | -0.6367 
576522073 | 38.8605 | -0.6379 
576522075 | 38.8602 | -0.6391 
576522076 | 38.8601 | -0.6397 
576522078 | 38.8601 | -0.6409 
576522080 | 38.8599 | -0.6414 
576522082 | 38.8597 | -0.6417 
576522084 | 38.8594 | -0.6419 
576522085 | 38.8593 | -0.6422 
576522087 | 38.8592 | -0.6425 
576522089 | 38.8592 | -0.6427 
576522091 | 38.8594 | -0.6432 
576522093 | 38.8605 | -0.6445 
576522095 | 38.8619 | -0.6451 
576522097 | 38.8626 | -0.6454 
576522099 | 38.8631 | -0.6457 
576522101 | 38.8635 | -0.6462 
576522103 | 38.8640 | -0.6470 
576522105 | 38.8647 | -0.6489 
576522107 | 38.8647 | -0.6492 
576522109 | 38.8639 | -0.6517 
576522111 | 38.8628 | -0.6548 
576522113 | 38.8623 | -0.6563 
576522114 | 38.8622 | -0.6588 
576522116 | 38.8617 | -0.6610 
576891970 | 38.8675 | -0.6580 
576891971 | 38.8687 | -0.6575 
576891972 | 38.8711 | -0.6562 
576891973 | 38.8720 | -0.6556 
576891974 | 38.8725 | -0.6552 
576891975 | 38.8730 | -0.6546 
576891977 | 38.8740 | -0.6535 
576891978 | 38.8784 | -0.6486 
576891979 | 38.8793 | -0.6476 
576891980 | 38.8788 | -0.6430 
576891983 | 38.8795 | -0.6429 
576891984 | 38.8802 | -0.6425 
576891985 | 38.8804 | -0.6422 
576891986 | 38.8805 | -0.6418 
576891987 | 38.8801 | -0.6385 
576891988 | 38.8801 | -0.6378 
576891989 | 38.8802 | -0.6372 
576891990 | 38.8805 | -0.6368 
576891991 | 38.8853 | -0.6304 
576891992 | 38.8868 | -0.6281 
576891993 | 38.8889 | -0.6251 
576891994 | 38.8901 | -0.6235 
576891995 | 38.8938 | -0.6282 
576891996 | 38.8984 | -0.6335 
576891997 | 38.9060 | -0.6425 
576891998 | 38.9107 | -0.6474 
576891999 | 38.9129 | -0.6490 
